LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESE SIMP.
"STR_SMD_NOTIFY_TICKET_RECEIVED","Вы получили наградной билет","You received a reward ticket","You received a reward ticket","You received a reward ticket","Вы получили наградной билет","You received a reward ticket","You received a reward ticket","You received a reward ticket","You received a reward ticket","You received a reward ticket","You received a reward ticket","You received a reward ticket","You received a reward ticket","You received a reward ticket"
"STR_SMD_NOTIFY_ZONE_KICK","Эта зона занята участниками активного забега","This area is reserved for an active dungeon run","This area is reserved for an active dungeon run","This area is reserved for an active dungeon run","Эта зона занята участниками активного забега","This area is reserved for an active dungeon run","This area is reserved for an active dungeon run","This area is reserved for an active dungeon run","This area is reserved for an active dungeon run","This area is reserved for an active dungeon run","This area is reserved for an active dungeon run","This area is reserved for an active dungeon run","This area is reserved for an active dungeon run","This area is reserved for an active dungeon run"
"STR_SMD_NOTIFY_TEMP_LOCK","Вам временно запрещена запись в данжи","You are temporarily banned from dungeon queues","You are temporarily banned from dungeon queues","You are temporarily banned from dungeon queues","Вам временно запрещена запись в данжи","You are temporarily banned from dungeon queues","You are temporarily banned from dungeon queues","You are temporarily banned from dungeon queues","You are temporarily banned from dungeon queues","You are temporarily banned from dungeon queues","You are temporarily banned from dungeon queues","You are temporarily banned from dungeon queues","You are temporarily banned from dungeon queues","You are temporarily banned from dungeon queues"
"STR_SMD_NOTIFY_PERMA_BAN","Вам навсегда запрещена запись в данжи","You are permanently banned from dungeon queues","You are permanently banned from dungeon queues","You are permanently banned from dungeon queues","Вам навсегда запрещена запись в данжи","You are permanently banned from dungeon queues","You are permanently banned from dungeon queues","You are permanently banned from dungeon queues","You are permanently banned from dungeon queues","You are permanently banned from dungeon queues","You are permanently banned from dungeon queues","You are permanently banned from dungeon queues","You are permanently banned from dungeon queues","You are permanently banned from dungeon queues"
"STR_SMD_NOTIFY_UNLOCK_GRANTED","Открыт новый данж","A new dungeon has been unlocked","A new dungeon has been unlocked","A new dungeon has been unlocked","Открыт новый данж","A new dungeon has been unlocked","A new dungeon has been unlocked","A new dungeon has been unlocked","A new dungeon has been unlocked","A new dungeon has been unlocked","A new dungeon has been unlocked","A new dungeon has been unlocked","A new dungeon has been unlocked","A new dungeon has been unlocked"
"STR_SMD_ROLL_TITLE","Распределение добычи","Loot Roll","Loot Roll","Loot Roll","Распределение добычи","Loot Roll","Loot Roll","Loot Roll","Loot Roll","Loot Roll","Loot Roll","Loot Roll","Loot Roll","Loot Roll"
"STR_SMD_ROLL_ITEM","Предмет","Item","Item","Item","Предмет","Item","Item","Item","Item","Item","Item","Item","Item","Item"
"STR_SMD_ROLL_WINNER","Победитель","Winner","Winner","Winner","Победитель","Winner","Winner","Winner","Winner","Winner","Winner","Winner","Winner","Winner"
"STR_SMD_ROLL_RANDOM","Ничья — победитель определён случайно","Tie — winner picked at random","Tie — winner picked at random","Tie — winner picked at random","Ничья — победитель определён случайно","Tie — winner picked at random","Tie — winner picked at random","Tie — winner picked at random","Tie — winner picked at random","Tie — winner picked at random","Tie — winner picked at random","Tie — winner picked at random","Tie — winner picked at random","Tie — winner picked at random"
"STR_SMD_TICKET_NAME","Наградной билет данжа","Dungeon Reward Ticket","Dungeon Reward Ticket","Dungeon Reward Ticket","Наградной билет данжа","Dungeon Reward Ticket","Dungeon Reward Ticket","Dungeon Reward Ticket","Dungeon Reward Ticket","Dungeon Reward Ticket","Dungeon Reward Ticket","Dungeon Reward Ticket","Dungeon Reward Ticket","Dungeon Reward Ticket"
"STR_SMD_TICKET_DESC","Запечатанная награда. Используйте предмет, чтобы раскрыть содержимое.","A sealed reward. Use the item to reveal its contents.","A sealed reward. Use the item to reveal its contents.","A sealed reward. Use the item to reveal its contents.","Запечатанная награда. Используйте предмет, чтобы раскрыть содержимое.","A sealed reward. Use the item to reveal its contents.","A sealed reward. Use the item to reveal its contents.","A sealed reward. Use the item to reveal its contents.","A sealed reward. Use the item to reveal its contents.","A sealed reward. Use the item to reveal its contents.","A sealed reward. Use the item to reveal its contents.","A sealed reward. Use the item to reveal its contents.","A sealed reward. Use the item to reveal its contents.","A sealed reward. Use the item to reveal its contents."
"STR_SMD_TICKET_ACTION","Открыть билет","Open Ticket","Open Ticket","Open Ticket","Открыть билет","Open Ticket","Open Ticket","Open Ticket","Open Ticket","Open Ticket","Open Ticket","Open Ticket","Open Ticket","Open Ticket"
"STR_SMD_TICKET_EMPTY","Билет уже раскрыт","This ticket has already been opened","This ticket has already been opened","This ticket has already been opened","Билет уже раскрыт","This ticket has already been opened","This ticket has already been opened","This ticket has already been opened","This ticket has already been opened","This ticket has already been opened","This ticket has already been opened","This ticket has already been opened","This ticket has already been opened","This ticket has already been opened"
"STR_SMD_ADMIN_ACTIVE_RUNS","Активные забеги","Active Runs","Active Runs","Active Runs","Активные забеги","Active Runs","Active Runs","Active Runs","Active Runs","Active Runs","Active Runs","Active Runs","Active Runs","Active Runs"
"STR_SMD_ADMIN_PENALTIES","Штрафы игроков","Player Penalties","Player Penalties","Player Penalties","Штрафы игроков","Player Penalties","Player Penalties","Player Penalties","Player Penalties","Player Penalties","Player Penalties","Player Penalties","Player Penalties","Player Penalties"
"STR_SMD_ADMIN_DUNGEONS","Настройки данжей","Dungeon Settings","Dungeon Settings","Dungeon Settings","Настройки данжей","Dungeon Settings","Dungeon Settings","Dungeon Settings","Dungeon Settings","Dungeon Settings","Dungeon Settings","Dungeon Settings","Dungeon Settings","Dungeon Settings"
"STR_SMD_ADMIN_RELOAD_OK","Конфиг данжей перезагружен","Dungeon config reloaded","Dungeon config reloaded","Dungeon config reloaded","Конфиг данжей перезагружен","Dungeon config reloaded","Dungeon config reloaded","Dungeon config reloaded","Dungeon config reloaded","Dungeon config reloaded","Dungeon config reloaded","Dungeon config reloaded","Dungeon config reloaded","Dungeon config reloaded"
"STR_SMD_ADMIN_RELOAD_FAIL","Ошибка перезагрузки конфига","Failed to reload config","Failed to reload config","Failed to reload config","Ошибка перезагрузки конфига","Failed to reload config","Failed to reload config","Failed to reload config","Failed to reload config","Failed to reload config","Failed to reload config","Failed to reload config","Failed to reload config","Failed to reload config"
"STR_SMD_ERR_NOT_LEADER","Только лидер группы может это сделать","Only the group leader can do this","Only the group leader can do this","Only the group leader can do this","Только лидер группы может это сделать","Only the group leader can do this","Only the group leader can do this","Only the group leader can do this","Only the group leader can do this","Only the group leader can do this","Only the group leader can do this","Only the group leader can do this","Only the group leader can do this","Only the group leader can do this"
"STR_SMD_ERR_ALREADY_BOOKED","У вас уже есть активная бронь","You already have an active booking","You already have an active booking","You already have an active booking","У вас уже есть активная бронь","You already have an active booking","You already have an active booking","You already have an active booking","You already have an active booking","You already have an active booking","You already have an active booking","You already have an active booking","You already have an active booking","You already have an active booking"
"STR_SMD_ERR_SLOT_TAKEN","Выбранный слот уже занят","The selected time slot is taken","The selected time slot is taken","The selected time slot is taken","Выбранный слот уже занят","The selected time slot is taken","The selected time slot is taken","The selected time slot is taken","The selected time slot is taken","The selected time slot is taken","The selected time slot is taken","The selected time slot is taken","The selected time slot is taken","The selected time slot is taken"
"STR_SMD_ERR_DUNGEON_LOCKED","Данж ещё не разблокирован","This dungeon is still locked","This dungeon is still locked","This dungeon is still locked","Данж ещё не разблокирован","This dungeon is still locked","This dungeon is still locked","This dungeon is still locked","This dungeon is still locked","This dungeon is still locked","This dungeon is still locked","This dungeon is still locked","This dungeon is still locked","This dungeon is still locked"
"STR_SMD_ERR_GROUP_FULL","Группа уже набрана","The group is already full","The group is already full","The group is already full","Группа уже набрана","The group is already full","The group is already full","The group is already full","The group is already full","The group is already full","The group is already full","The group is already full","The group is already full","The group is already full"
"STR_SMD_ERR_PERMA_BANNED","Вам запрещена запись в данжи","You are banned from dungeon queues","You are banned from dungeon queues","You are banned from dungeon queues","Вам запрещена запись в данжи","You are banned from dungeon queues","You are banned from dungeon queues","You are banned from dungeon queues","You are banned from dungeon queues","You are banned from dungeon queues","You are banned from dungeon queues","You are banned from dungeon queues","You are banned from dungeon queues","You are banned from dungeon queues"
"STR_SMD_ERR_TEMP_LOCKED","Вы временно не можете записываться в данжи","You are temporarily locked out of dungeon queues","You are temporarily locked out of dungeon queues","You are temporarily locked out of dungeon queues","Вы временно не можете записываться в данжи","You are temporarily locked out of dungeon queues","You are temporarily locked out of dungeon queues","You are temporarily locked out of dungeon queues","You are temporarily locked out of dungeon queues","You are temporarily locked out of dungeon queues","You are temporarily locked out of dungeon queues","You are temporarily locked out of dungeon queues","You are temporarily locked out of dungeon queues","You are temporarily locked out of dungeon queues"
"STR_SMD_ERR_NOT_ENOUGH_PLAYERS","Недостаточно игроков вышло на старт — бронь отменена","Not enough players showed up — booking cancelled","Not enough players showed up — booking cancelled","Not enough players showed up — booking cancelled","Недостаточно игроков вышло на старт — бронь отменена","Not enough players showed up — booking cancelled","Not enough players showed up — booking cancelled","Not enough players showed up — booking cancelled","Not enough players showed up — booking cancelled","Not enough players showed up — booking cancelled","Not enough players showed up — booking cancelled","Not enough players showed up — booking cancelled","Not enough players showed up — booking cancelled","Not enough players showed up — booking cancelled"
"STR_SMD_ERR_GENERIC","Действие не удалось","Action failed","Action failed","Action failed","Действие не удалось","Action failed","Action failed","Action failed","Action failed","Action failed","Action failed","Action failed","Action failed","Action failed"
"STR_SMD_STATUS_PENDING","В ожидании","Pending","Pending","Pending","В ожидании","Pending","Pending","Pending","Pending","Pending","Pending","Pending","Pending","Pending"
"STR_SMD_STATUS_CONFIRMED","Подтверждено","Confirmed","Confirmed","Confirmed","Подтверждено","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed"
"STR_SMD_STATUS_ACTIVE","Идёт","In progress","In progress","In progress","Идёт","In progress","In progress","In progress","In progress","In progress","In progress","In progress","In progress","In progress"
"STR_SMD_STATUS_COMPLETED","Завершено","Completed","Completed","Completed","Завершено","Completed","Completed","Completed","Completed","Completed","Completed","Completed","Completed","Completed"
"STR_SMD_STATUS_CANCELLED","Отменено","Cancelled","Cancelled","Cancelled","Отменено","Cancelled","Cancelled","Cancelled","Cancelled","Cancelled","Cancelled","Cancelled","Cancelled","Cancelled"
"STR_SMD_STATUS_NO_SHOW","Неявка","No-show","No-show","No-show","Неявка","No-show","No-show","No-show","No-show","No-show","No-show","No-show","No-show","No-show"
"STR_SMD_STATUS_EXPIRED","Истекло","Expired","Expired","Expired","Истекло","Expired","Expired","Expired","Expired","Expired","Expired","Expired","Expired","Expired"
"STR_SMD_DUNGEON_STATUS_OPEN","Открыт","Open","Open","Open","Открыт","Open","Open","Open","Open","Open","Open","Open","Open","Open"
"STR_SMD_DUNGEON_STATUS_LOCKED","Заблокирован","Locked","Locked","Locked","Заблокирован","Locked","Locked","Locked","Locked","Locked","Locked","Locked","Locked","Locked"
"STR_SMD_DUNGEON_STATUS_OFF","Выключен","Disabled","Disabled","Disabled","Выключен","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled"
"STR_SMD_PHASE_COUNTDOWN","Старт через","Starting in","Starting in","Starting in","Старт через","Starting in","Starting in","Starting in","Starting in","Starting in","Starting in","Starting in","Starting in","Starting in"
"STR_SMD_PHASE_ACTIVE","Забег идёт","Run in progress","Run in progress","Run in progress","Забег идёт","Run in progress","Run in progress","Run in progress","Run in progress","Run in progress","Run in progress","Run in progress","Run in progress","Run in progress"
"STR_SMD_PHASE_EVACUATING","Эвакуация","Evacuating","Evacuating","Evacuating","Эвакуация","Evacuating","Evacuating","Evacuating","Evacuating","Evacuating","Evacuating","Evacuating","Evacuating","Evacuating"
"STR_SMD_PHASE_COMPLETED","Забег завершён","Run complete","Run complete","Run complete","Забег завершён","Run complete","Run complete","Run complete","Run complete","Run complete","Run complete","Run complete","Run complete","Run complete"
"STR_SMD_PHASE_FAILED","Забег провален","Run failed","Run failed","Run failed","Забег провален","Run failed","Run failed","Run failed","Run failed","Run failed","Run failed","Run failed","Run failed","Run failed"
"STR_SMD_DIFF_EASY","Лёгкая","Easy","Easy","Easy","Лёгкая","Easy","Easy","Easy","Easy","Easy","Easy","Easy","Easy","Easy"
"STR_SMD_DIFF_NORMAL","Средняя","Normal","Normal","Normal","Средняя","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal"
"STR_SMD_DIFF_HARD","Сложная","Hard","Hard","Hard","Сложная","Hard","Hard","Hard","Hard","Hard","Hard","Hard","Hard","Hard"
"STR_SMD_DIFF_NIGHTMARE","Кошмар","Nightmare","Nightmare","Nightmare","Кошмар","Nightmare","Nightmare","Nightmare","Nightmare","Nightmare","Nightmare","Nightmare","Nightmare","Nightmare"
"STR_SMD_ERR_NO_UNLOCK_TARGET","Этот данж не открывает других локаций","This dungeon does not unlock other locations","This dungeon does not unlock other locations","This dungeon does not unlock other locations","Этот данж не открывает других локаций","This dungeon does not unlock other locations","This dungeon does not unlock other locations","This dungeon does not unlock other locations","This dungeon does not unlock other locations","This dungeon does not unlock other locations","This dungeon does not unlock other locations","This dungeon does not unlock other locations","This dungeon does not unlock other locations","This dungeon does not unlock other locations"
