LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESE SIMP.
"STR_SMP_00020"," (остаток не разменялся мелкими номиналами)"," (the balance was not exchanged in small denominations)"," (the balance was not exchanged in small denominations)"," (the balance was not exchanged in small denominations)"," (остаток не разменялся мелкими номиналами)"," (the balance was not exchanged in small denominations)"," (the balance was not exchanged in small denominations)"," (the balance was not exchanged in small denominations)"," (the balance was not exchanged in small denominations)"," (the balance was not exchanged in small denominations)"," (the balance was not exchanged in small denominations)"," (the balance was not exchanged in small denominations)"," (the balance was not exchanged in small denominations)"," (the balance was not exchanged in small denominations)"
"STR_SMP_00021"," (прокачка выключена)"," (upgrade is turned off)"," (upgrade is turned off)"," (upgrade is turned off)"," (прокачка выключена)"," (upgrade is turned off)"," (upgrade is turned off)"," (upgrade is turned off)"," (upgrade is turned off)"," (upgrade is turned off)"," (upgrade is turned off)"," (upgrade is turned off)"," (upgrade is turned off)"," (upgrade is turned off)"
"STR_SMP_00022"," (растёт с уровнем)."," (increases with level)."," (increases with level)."," (increases with level)."," (растёт с уровнем)."," (increases with level)."," (increases with level)."," (increases with level)."," (increases with level)."," (increases with level)."," (increases with level)."," (increases with level)."," (increases with level)."," (increases with level)."
"STR_SMP_00023"," (склад "," (storage "," (storage "," (storage "," (склад "," (storage "," (storage "," (storage "," (storage "," (storage "," (storage "," (storage "," (storage "," (storage "
"STR_SMP_00024"," | Владелец: "," | Owner: "," | Owner: "," | Owner: "," | Владелец: "," | Owner: "," | Owner: "," | Owner: "," | Owner: "," | Owner: "," | Owner: "," | Owner: "," | Owner: "," | Owner: "
"STR_SMP_00025"," | Онлайн: "," | Online: "," | Online: "," | Online: "," | Онлайн: "," | Online: "," | Online: "," | Online: "," | Online: "," | Online: "," | Online: "," | Online: "," | Online: "," | Online: "
"STR_SMP_00026"," в казне"," in the treasury"," in the treasury"," in the treasury"," в казне"," in the treasury"," in the treasury"," in the treasury"," in the treasury"," in the treasury"," in the treasury"," in the treasury"," in the treasury"," in the treasury"
"STR_SMP_00027"," в казну"," to the treasury"," to the treasury"," to the treasury"," в казну"," to the treasury"," to the treasury"," to the treasury"," to the treasury"," to the treasury"," to the treasury"," to the treasury"," to the treasury"," to the treasury"
"STR_SMP_00028"," в казну)"," to the treasury)"," to the treasury)"," to the treasury)"," в казну)"," to the treasury)"," to the treasury)"," to the treasury)"," to the treasury)"," to the treasury)"," to the treasury)"," to the treasury)"," to the treasury)"," to the treasury)"
"STR_SMP_00029"," взял со склада: "," got it from the storage: "," got it from the storage: "," got it from the storage: "," взял со склада: "," got it from the storage: "," got it from the storage: "," got it from the storage: "," got it from the storage: "," got it from the storage: "," got it from the storage: "," got it from the storage: "," got it from the storage: "," got it from the storage: "
"STR_SMP_00030"," включил отправку аудита в Discord"," enabled sending audit to Discord"," enabled sending audit to Discord"," enabled sending audit to Discord"," включил отправку аудита в Discord"," enabled sending audit to Discord"," enabled sending audit to Discord"," enabled sending audit to Discord"," enabled sending audit to Discord"," enabled sending audit to Discord"," enabled sending audit to Discord"," enabled sending audit to Discord"," enabled sending audit to Discord"," enabled sending audit to Discord"
"STR_SMP_00031"," внёс в казну "," contributed to the treasury "," contributed to the treasury "," contributed to the treasury "," внёс в казну "," contributed to the treasury "," contributed to the treasury "," contributed to the treasury "," contributed to the treasury "," contributed to the treasury "," contributed to the treasury "," contributed to the treasury "," contributed to the treasury "," contributed to the treasury "
"STR_SMP_00032"," возвращён (под ноги)"," returned (underfoot)"," returned (underfoot)"," returned (underfoot)"," возвращён (под ноги)"," returned (underfoot)"," returned (underfoot)"," returned (underfoot)"," returned (underfoot)"," returned (underfoot)"," returned (underfoot)"," returned (underfoot)"," returned (underfoot)"," returned (underfoot)"
"STR_SMP_00033"," вступил в клан"," joined the clan"," joined the clan"," joined the clan"," вступил в клан"," joined the clan"," joined the clan"," joined the clan"," joined the clan"," joined the clan"," joined the clan"," joined the clan"," joined the clan"," joined the clan"
"STR_SMP_00034"," выключил отправку аудита в Discord"," disabled sending audits to Discord"," disabled sending audits to Discord"," disabled sending audits to Discord"," выключил отправку аудита в Discord"," disabled sending audits to Discord"," disabled sending audits to Discord"," disabled sending audits to Discord"," disabled sending audits to Discord"," disabled sending audits to Discord"," disabled sending audits to Discord"," disabled sending audits to Discord"," disabled sending audits to Discord"," disabled sending audits to Discord"
"STR_SMP_00035"," выставил на рынок "," put on the market "," put on the market "," put on the market "," выставил на рынок "," put on the market "," put on the market "," put on the market "," put on the market "," put on the market "," put on the market "," put on the market "," put on the market "," put on the market "
"STR_SMP_00036"," выстрелами. Считаются попадания из огнестрела по игрокам и зомби."," shots. Firearm hits against players and zombies are counted."," shots. Firearm hits against players and zombies are counted."," shots. Firearm hits against players and zombies are counted."," выстрелами. Считаются попадания из огнестрела по игрокам и зомби."," shots. Firearm hits against players and zombies are counted."," shots. Firearm hits against players and zombies are counted."," shots. Firearm hits against players and zombies are counted."," shots. Firearm hits against players and zombies are counted."," shots. Firearm hits against players and zombies are counted."," shots. Firearm hits against players and zombies are counted."," shots. Firearm hits against players and zombies are counted."," shots. Firearm hits against players and zombies are counted."," shots. Firearm hits against players and zombies are counted."
"STR_SMP_00037"," д"," d"," d"," d"," д"," d"," d"," d"," d"," d"," d"," d"," d"," d"
"STR_SMP_00038"," денег"," money"," money"," money"," денег"," money"," money"," money"," money"," money"," money"," money"," money"," money"
"STR_SMP_00039"," до "," up to "," up to "," up to "," до "," up to "," up to "," up to "," up to "," up to "," up to "," up to "," up to "," up to "
"STR_SMP_00040"," добавил маркер на карту: "," added a marker to the map: "," added a marker to the map: "," added a marker to the map: "," добавил маркер на карту: "," added a marker to the map: "," added a marker to the map: "," added a marker to the map: "," added a marker to the map: "," added a marker to the map: "," added a marker to the map: "," added a marker to the map: "," added a marker to the map: "," added a marker to the map: "
"STR_SMP_00041"," доступен со звания: "," available from rank: "," available from rank: "," available from rank: "," доступен со звания: "," available from rank: "," available from rank: "," available from rank: "," available from rank: "," available from rank: "," available from rank: "," available from rank: "," available from rank: "," available from rank: "
"STR_SMP_00042"," за "," for "," for "," for "," за "," for "," for "," for "," for "," for "," for "," for "," for "," for "
"STR_SMP_00043"," и выше"," and above"," and above"," and above"," и выше"," and above"," and above"," and above"," and above"," and above"," and above"," and above"," and above"," and above"
"STR_SMP_00044"," из "," from "," from "," from "," из "," from "," from "," from "," from "," from "," from "," from "," from "," from "
"STR_SMP_00045"," из запрошенных "," of the requested "," of the requested "," of the requested "," из запрошенных "," of the requested "," of the requested "," of the requested "," of the requested "," of the requested "," of the requested "," of the requested "," of the requested "," of the requested "
"STR_SMP_00046"," из казны)"," from the treasury)"," from the treasury)"," from the treasury)"," из казны)"," from the treasury)"," from the treasury)"," from the treasury)"," from the treasury)"," from the treasury)"," from the treasury)"," from the treasury)"," from the treasury)"," from the treasury)"
"STR_SMP_00047"," изменил описание клана"," changed the clan description"," changed the clan description"," changed the clan description"," изменил описание клана"," changed the clan description"," changed the clan description"," changed the clan description"," changed the clan description"," changed the clan description"," changed the clan description"," changed the clan description"," changed the clan description"," changed the clan description"
"STR_SMP_00048"," изменил права: «"," changed permissions: """," changed permissions: """," changed permissions: """," изменил права: «"," changed permissions: """," changed permissions: """," changed permissions: """," changed permissions: """," changed permissions: """," changed permissions: """," changed permissions: """," changed permissions: """," changed permissions: """
"STR_SMP_00049"," исключён (кикнул "," eliminated (kicked "," eliminated (kicked "," eliminated (kicked "," исключён (кикнул "," eliminated (kicked "," eliminated (kicked "," eliminated (kicked "," eliminated (kicked "," eliminated (kicked "," eliminated (kicked "," eliminated (kicked "," eliminated (kicked "," eliminated (kicked "
"STR_SMP_00050"," исключён из клана"," expelled from the clan"," expelled from the clan"," expelled from the clan"," исключён из клана"," expelled from the clan"," expelled from the clan"," expelled from the clan"," expelled from the clan"," expelled from the clan"," expelled from the clan"," expelled from the clan"," expelled from the clan"," expelled from the clan"
"STR_SMP_00051"," исключён из клана. Кикнул: "," expelled from the clan. Kicked: "," expelled from the clan. Kicked: "," expelled from the clan. Kicked: "," исключён из клана. Кикнул: "," expelled from the clan. Kicked: "," expelled from the clan. Kicked: "," expelled from the clan. Kicked: "," expelled from the clan. Kicked: "," expelled from the clan. Kicked: "," expelled from the clan. Kicked: "," expelled from the clan. Kicked: "," expelled from the clan. Kicked: "," expelled from the clan. Kicked: "
"STR_SMP_00052"," казны"," treasury"," treasury"," treasury"," казны"," treasury"," treasury"," treasury"," treasury"," treasury"," treasury"," treasury"," treasury"," treasury"
"STR_SMP_00053"," купил "," bought "," bought "," bought "," купил "," bought "," bought "," bought "," bought "," bought "," bought "," bought "," bought "," bought "
"STR_SMP_00054"," купил лот "," bought a lot "," bought a lot "," bought a lot "," купил лот "," bought a lot "," bought a lot "," bought a lot "," bought a lot "," bought a lot "," bought a lot "," bought a lot "," bought a lot "," bought a lot "
"STR_SMP_00055"," Лимит лотов клана: "," Clan lot limit: "," Clan lot limit: "," Clan lot limit: "," Лимит лотов клана: "," Clan lot limit: "," Clan lot limit: "," Clan lot limit: "," Clan lot limit: "," Clan lot limit: "," Clan lot limit: "," Clan lot limit: "," Clan lot limit: "," Clan lot limit: "
"STR_SMP_00056"," Лоты клана: "," Clan lots: "," Clan lots: "," Clan lots: "," Лоты клана: "," Clan lots: "," Clan lots: "," Clan lots: "," Clan lots: "," Clan lots: "," Clan lots: "," Clan lots: "," Clan lots: "," Clan lots: "
"STR_SMP_00057"," м"," m"," m"," m"," м"," m"," m"," m"," m"," m"," m"," m"," m"," m"
"STR_SMP_00058"," мин"," min"," min"," min"," мин"," min"," min"," min"," min"," min"," min"," min"," min"," min"
"STR_SMP_00059"," мин."," min."," min."," min."," мин."," min."," min."," min."," min."," min."," min."," min."," min."," min."
"STR_SMP_00060"," мин. Причина: "," min. Reason: "," min. Reason: "," min. Reason: "," мин. Причина: "," min. Reason: "," min. Reason: "," min. Reason: "," min. Reason: "," min. Reason: "," min. Reason: "," min. Reason: "," min. Reason: "," min. Reason: "
"STR_SMP_00061"," на "," on "," on "," on "," на "," on "," on "," on "," on "," on "," on "," on "," on "," on "
"STR_SMP_00062"," настроил Discord webhook клана"," set up the clan's Discord webhook"," set up the clan's Discord webhook"," set up the clan's Discord webhook"," настроил Discord webhook клана"," set up the clan's Discord webhook"," set up the clan's Discord webhook"," set up the clan's Discord webhook"," set up the clan's Discord webhook"," set up the clan's Discord webhook"," set up the clan's Discord webhook"," set up the clan's Discord webhook"," set up the clan's Discord webhook"," set up the clan's Discord webhook"
"STR_SMP_00063"," нужно "," need "," need "," need "," нужно "," need "," need "," need "," need "," need "," need "," need "," need "," need "
"STR_SMP_00064"," обновил маркер на карте: "," updated the marker on the map: "," updated the marker on the map: "," updated the marker on the map: "," обновил маркер на карте: "," updated the marker on the map: "," updated the marker on the map: "," updated the marker on the map: "," updated the marker on the map: "," updated the marker on the map: "," updated the marker on the map: "," updated the marker on the map: "," updated the marker on the map: "," updated the marker on the map: "
"STR_SMP_00065"," отвязал базу клана от флагштока"," untied the clan base from the flagpole"," untied the clan base from the flagpole"," untied the clan base from the flagpole"," отвязал базу клана от флагштока"," untied the clan base from the flagpole"," untied the clan base from the flagpole"," untied the clan base from the flagpole"," untied the clan base from the flagpole"," untied the clan base from the flagpole"," untied the clan base from the flagpole"," untied the clan base from the flagpole"," untied the clan base from the flagpole"," untied the clan base from the flagpole"
"STR_SMP_00066"," отклонена"," rejected"," rejected"," rejected"," отклонена"," rejected"," rejected"," rejected"," rejected"," rejected"," rejected"," rejected"," rejected"," rejected"
"STR_SMP_00067"," очистил Discord webhook клана"," cleared the clan's Discord webhook"," cleared the clan's Discord webhook"," cleared the clan's Discord webhook"," очистил Discord webhook клана"," cleared the clan's Discord webhook"," cleared the clan's Discord webhook"," cleared the clan's Discord webhook"," cleared the clan's Discord webhook"," cleared the clan's Discord webhook"," cleared the clan's Discord webhook"," cleared the clan's Discord webhook"," cleared the clan's Discord webhook"," cleared the clan's Discord webhook"
"STR_SMP_00068"," переименовал маркер на карте: "," renamed the marker on the map: "," renamed the marker on the map: "," renamed the marker on the map: "," переименовал маркер на карте: "," renamed the marker on the map: "," renamed the marker on the map: "," renamed the marker on the map: "," renamed the marker on the map: "," renamed the marker on the map: "," renamed the marker on the map: "," renamed the marker on the map: "," renamed the marker on the map: "," renamed the marker on the map: "
"STR_SMP_00069"," перепривязал базу клана к новому флагштоку"," relinked the clan base to a new flagpole"," relinked the clan base to a new flagpole"," relinked the clan base to a new flagpole"," перепривязал базу клана к новому флагштоку"," relinked the clan base to a new flagpole"," relinked the clan base to a new flagpole"," relinked the clan base to a new flagpole"," relinked the clan base to a new flagpole"," relinked the clan base to a new flagpole"," relinked the clan base to a new flagpole"," relinked the clan base to a new flagpole"," relinked the clan base to a new flagpole"," relinked the clan base to a new flagpole"
"STR_SMP_00070"," перепривязал базу клана к новому флагштоку, старый флагшток не найден"," relinked the clan base to a new flagpole, the old flagpole was not found"," relinked the clan base to a new flagpole, the old flagpole was not found"," relinked the clan base to a new flagpole, the old flagpole was not found"," перепривязал базу клана к новому флагштоку, старый флагшток не найден"," relinked the clan base to a new flagpole, the old flagpole was not found"," relinked the clan base to a new flagpole, the old flagpole was not found"," relinked the clan base to a new flagpole, the old flagpole was not found"," relinked the clan base to a new flagpole, the old flagpole was not found"," relinked the clan base to a new flagpole, the old flagpole was not found"," relinked the clan base to a new flagpole, the old flagpole was not found"," relinked the clan base to a new flagpole, the old flagpole was not found"," relinked the clan base to a new flagpole, the old flagpole was not found"," relinked the clan base to a new flagpole, the old flagpole was not found"
"STR_SMP_00071"," покинул клан"," left the clan"," left the clan"," left the clan"," покинул клан"," left the clan"," left the clan"," left the clan"," left the clan"," left the clan"," left the clan"," left the clan"," left the clan"," left the clan"
"STR_SMP_00072"," покинул клан. Участников не осталось"," left the clan. No participants left"," left the clan. No participants left"," left the clan. No participants left"," покинул клан. Участников не осталось"," left the clan. No participants left"," left the clan. No participants left"," left the clan. No participants left"," left the clan. No participants left"," left the clan. No participants left"," left the clan. No participants left"," left the clan. No participants left"," left the clan. No participants left"," left the clan. No participants left"
"STR_SMP_00073"," положил на склад: "," put into storage: "," put into storage: "," put into storage: "," положил на склад: "," put into storage: "," put into storage: "," put into storage: "," put into storage: "," put into storage: "," put into storage: "," put into storage: "," put into storage: "," put into storage: "
"STR_SMP_00074"," получил награду за достижение """," received an award for achievement """," received an award for achievement """," received an award for achievement """," получил награду за достижение """," received an award for achievement """," received an award for achievement """," received an award for achievement """," received an award for achievement """," received an award for achievement """," received an award for achievement """," received an award for achievement """," received an award for achievement """," received an award for achievement """
"STR_SMP_00075"," поставил метку"," put a mark"," put a mark"," put a mark"," поставил метку"," put a mark"," put a mark"," put a mark"," put a mark"," put a mark"," put a mark"," put a mark"," put a mark"," put a mark"
"STR_SMP_00076"," привязал базу клана к флагштоку"," tied the clan base to the flagpole"," tied the clan base to the flagpole"," tied the clan base to the flagpole"," привязал базу клана к флагштоку"," tied the clan base to the flagpole"," tied the clan base to the flagpole"," tied the clan base to the flagpole"," tied the clan base to the flagpole"," tied the clan base to the flagpole"," tied the clan base to the flagpole"," tied the clan base to the flagpole"," tied the clan base to the flagpole"," tied the clan base to the flagpole"
"STR_SMP_00077"," приглашает вас в клан """," invites you to the clan"""," invites you to the clan"""," invites you to the clan"""," приглашает вас в клан """," invites you to the clan"""," invites you to the clan"""," invites you to the clan"""," invites you to the clan"""," invites you to the clan"""," invites you to the clan"""," invites you to the clan"""," invites you to the clan"""," invites you to the clan"""
"STR_SMP_00078"," принят по заявке (решение: "," accepted on application (decision: "," accepted on application (decision: "," accepted on application (decision: "," принят по заявке (решение: "," accepted on application (decision: "," accepted on application (decision: "," accepted on application (decision: "," accepted on application (decision: "," accepted on application (decision: "," accepted on application (decision: "," accepted on application (decision: "," accepted on application (decision: "," accepted on application (decision: "
"STR_SMP_00079"," принят по заявке. Решение: "," accepted on application. Solution: "," accepted on application. Solution: "," accepted on application. Solution: "," принят по заявке. Решение: "," accepted on application. Solution: "," accepted on application. Solution: "," accepted on application. Solution: "," accepted on application. Solution: "," accepted on application. Solution: "," accepted on application. Solution: "," accepted on application. Solution: "," accepted on application. Solution: "," accepted on application. Solution: "
"STR_SMP_00080"," прокачал клан до уровня "," upgraded the clan to the level "," upgraded the clan to the level "," upgraded the clan to the level "," прокачал клан до уровня "," upgraded the clan to the level "," upgraded the clan to the level "," upgraded the clan to the level "," upgraded the clan to the level "," upgraded the clan to the level "," upgraded the clan to the level "," upgraded the clan to the level "," upgraded the clan to the level "," upgraded the clan to the level "
"STR_SMP_00081"," сек"," sec"," sec"," sec"," сек"," sec"," sec"," sec"," sec"," sec"," sec"," sec"," sec"," sec"
"STR_SMP_00082"," символов"," characters"," characters"," characters"," символов"," characters"," characters"," characters"," characters"," characters"," characters"," characters"," characters"," characters"
"STR_SMP_00083"," символов!"," characters!"," characters!"," characters!"," символов!"," characters!"," characters!"," characters!"," characters!"," characters!"," characters!"," characters!"," characters!"," characters!"
"STR_SMP_00084"," сменил цвет клана"," changed clan color"," changed clan color"," changed clan color"," сменил цвет клана"," changed clan color"," changed clan color"," changed clan color"," changed clan color"," changed clan color"," changed clan color"," changed clan color"," changed clan color"," changed clan color"
"STR_SMP_00085"," снял из казны "," removed from the treasury "," removed from the treasury "," removed from the treasury "," снял из казны "," removed from the treasury "," removed from the treasury "," removed from the treasury "," removed from the treasury "," removed from the treasury "," removed from the treasury "," removed from the treasury "," removed from the treasury "," removed from the treasury "
"STR_SMP_00086"," снял с рынка "," removed from the market "," removed from the market "," removed from the market "," снял с рынка "," removed from the market "," removed from the market "," removed from the market "," removed from the market "," removed from the market "," removed from the market "," removed from the market "," removed from the market "," removed from the market "
"STR_SMP_00087"," теперь "," now "," now "," now "," теперь "," now "," now "," now "," now "," now "," now "," now "," now "," now "
"STR_SMP_00088"," удалил маркер с карты: "," removed a marker from the map: "," removed a marker from the map: "," removed a marker from the map: "," удалил маркер с карты: "," removed a marker from the map: "," removed a marker from the map: "," removed a marker from the map: "," removed a marker from the map: "," removed a marker from the map: "," removed a marker from the map: "," removed a marker from the map: "," removed a marker from the map: "," removed a marker from the map: "
"STR_SMP_00089"," уже состоит в другом клане"," is already in another clan"," is already in another clan"," is already in another clan"," уже состоит в другом клане"," is already in another clan"," is already in another clan"," is already in another clan"," is already in another clan"," is already in another clan"," is already in another clan"," is already in another clan"," is already in another clan"," is already in another clan"
"STR_SMP_00090"," участник(ов)"," participant(s)"," participant(s)"," participant(s)"," участник(ов)"," participant(s)"," participant(s)"," participant(s)"," participant(s)"," participant(s)"," participant(s)"," participant(s)"," participant(s)"," participant(s)"
"STR_SMP_00091"," хочет вступить в клан. Меню клана (P) -> Заявки"," wants to join the clan. Clan menu (P) -> Applications"," wants to join the clan. Clan menu (P) -> Applications"," wants to join the clan. Clan menu (P) -> Applications"," хочет вступить в клан. Меню клана (P) -> Заявки"," wants to join the clan. Clan menu (P) -> Applications"," wants to join the clan. Clan menu (P) -> Applications"," wants to join the clan. Clan menu (P) -> Applications"," wants to join the clan. Clan menu (P) -> Applications"," wants to join the clan. Clan menu (P) -> Applications"," wants to join the clan. Clan menu (P) -> Applications"," wants to join the clan. Clan menu (P) -> Applications"," wants to join the clan. Clan menu (P) -> Applications"," wants to join the clan. Clan menu (P) -> Applications"
"STR_SMP_00092"," ч"," h"," h"," h"," ч"," h"," h"," h"," h"," h"," h"," h"," h"," h"
"STR_SMP_00093"," **Жильцы:** "," **Residents:** "," **Residents:** "," **Residents:** "," **Жильцы:** "," **Residents:** "," **Residents:** "," **Residents:** "," **Residents:** "," **Residents:** "," **Residents:** "," **Residents:** "," **Residents:** "," **Residents:** "
"STR_SMP_00094"," ... ещё "," ...more "," ...more "," ...more "," ... ещё "," ...more "," ...more "," ...more "," ...more "," ...more "," ...more "," ...more "," ...more "," ...more "
"STR_SMP_00095"," Ваш лимит: "," Your limit: "," Your limit: "," Your limit: "," Ваш лимит: "," Your limit: "," Your limit: "," Your limit: "," Your limit: "," Your limit: "," Your limit: "," Your limit: "," Your limit: "," Your limit: "
"STR_SMP_00096"," Ваш лимит: без ограничения"," Your limit: no limit"," Your limit: no limit"," Your limit: no limit"," Ваш лимит: без ограничения"," Your limit: no limit"," Your limit: no limit"," Your limit: no limit"," Your limit: no limit"," Your limit: no limit"," Your limit: no limit"," Your limit: no limit"," Your limit: no limit"," Your limit: no limit"
"STR_SMP_00097"," Вложений (аттачменты и карго): "," Attachments (attachments and cargo): "," Attachments (attachments and cargo): "," Attachments (attachments and cargo): "," Вложений (аттачменты и карго): "," Attachments (attachments and cargo): "," Attachments (attachments and cargo): "," Attachments (attachments and cargo): "," Attachments (attachments and cargo): "," Attachments (attachments and cargo): "," Attachments (attachments and cargo): "," Attachments (attachments and cargo): "," Attachments (attachments and cargo): "," Attachments (attachments and cargo): "
"STR_SMP_00098"," Вложений: "," Attachments: "," Attachments: "," Attachments: "," Вложений: "," Attachments: "," Attachments: "," Attachments: "," Attachments: "," Attachments: "," Attachments: "," Attachments: "," Attachments: "," Attachments: "
"STR_SMP_00099"," Дата: "," Date: "," Date: "," Date: "," Дата: "," Date: "," Date: "," Date: "," Date: "," Date: "," Date: "," Date: "," Date: "," Date: "
"STR_SMP_00100"," Длительность: "," Duration: "," Duration: "," Duration: "," Длительность: "," Duration: "," Duration: "," Duration: "," Duration: "," Duration: "," Duration: "," Duration: "," Duration: "," Duration: "
"STR_SMP_00101"," Ещё: "," More: "," More: "," More: "," Ещё: "," More: "," More: "," More: "," More: "," More: "," More: "," More: "," More: "," More: "
"STR_SMP_00102"," Исполнитель: "," Artist: "," Artist: "," Artist: "," Исполнитель: "," Artist: "," Artist: "," Artist: "," Artist: "," Artist: "," Artist: "," Artist: "," Artist: "," Artist: "
"STR_SMP_00103"," Клан: "," Clan: "," Clan: "," Clan: "," Клан: "," Clan: "," Clan: "," Clan: "," Clan: "," Clan: "," Clan: "," Clan: "," Clan: "," Clan: "
"STR_SMP_00104"," Количество: "," Quantity: "," Quantity: "," Quantity: "," Количество: "," Quantity: "," Quantity: "," Quantity: "," Quantity: "," Quantity: "," Quantity: "," Quantity: "," Quantity: "," Quantity: "
"STR_SMP_00105"," Комиссия системы: "," System commission: "," System commission: "," System commission: "," Комиссия системы: "," System commission: "," System commission: "," System commission: "," System commission: "," System commission: "," System commission: "," System commission: "," System commission: "," System commission: "
"STR_SMP_00106"," Комиссия: "," Commission: "," Commission: "," Commission: "," Комиссия: "," Commission: "," Commission: "," Commission: "," Commission: "," Commission: "," Commission: "," Commission: "," Commission: "," Commission: "
